First ID,1_Sample_ID,1_Lat,1_Long,1_Anem,Loci typed,Second ID,2_Sample_ID,2_Lat,2_Long,MATCH,2_Anem,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_14049L0726,APCL14_049,10.63357,124.776796,406,265,APCL_14049L1740,APCL14_049,10.63357,124.776796,MATCH,406,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L0737,APCL14_255,10.634084,124.776499,536,265,APCL_14509L1705,APCL14_509,10.79974,124.76825,FALSE,NA,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13333L0357,APCL13_333,10.8553445,124.7268745,195,265,APCL_13333L1721,APCL13_333,10.8553445,124.7268745,MATCH,195,265,253,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13485L0658,APCL13_485,10.87311425,124.7119573,276,262,APCL_14095L0923,APCL14_095,10.873067,124.712098,FALSE,430,265,253,9,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L1735,APCL13_565,10.633602,124.7767905,311,265,APCL_14049L1740,APCL14_049,10.63357,124.776796,FALSE,406,265,253,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13639L0979,APCL13_639,10.8732035,124.712417,356,265,APCL_13651L1725,APCL13_651,10.86076925,124.7211288,FALSE,NA,265,253,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13089L0424,APCL13_089,10.74400075,124.7863023,51,265,APCL_14006L0722,APCL14_006,10.742899,124.787067,FALSE,284,265,254,11,0.00E+00,0.00E+00,Fuzzy match
APCL_13187L1621,APCL13_187,10.874049,124.7110515,105,264,APCL_14141L0728,APCL14_141,10.633547,124.776866,FALSE,456,265,254,10,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,10.633602,124.7767905,311,265,APCL_14049L1740,APCL14_049,10.63357,124.776796,FALSE,406,265,254,11,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,10.6340205,124.776657,321,265,APCL_14509L1705,APCL14_509,10.79974,124.76825,FALSE,NA,265,255,10,0.00E+00,0.00E+00,Fuzzy match
APCL_13145L1098,APCL13_145,10.652842,124.7837035,80,265,APCL_14036L0723,APCL14_036,10.652146,124.783819,FALSE,395,265,256,9,0.00E+00,0.00E+00,Fuzzy match
APCL_13572L0874,APCL13_572,10.63368925,124.7767925,315,265,APCL_14060L0921,APCL14_060,10.633935,124.776683,FALSE,411,265,256,9,0.00E+00,0.00E+00,Fuzzy match
APCL_13565L0670,APCL13_565,10.633602,124.7767905,311,265,APCL_14049L0726,APCL14_049,10.63357,124.776796,FALSE,406,265,257,8,0.00E+00,0.00E+00,Fuzzy match
APCL_13120L1084,APCL13_120,10.79913075,124.7685015,NA,265,APCL_13131L1092,APCL13_131,10.79891075,124.7686843,FALSE,72,265,259,6,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,10.6340205,124.776657,321,265,APCL_14255L0737,APCL14_255,10.634084,124.776499,FALSE,536,265,260,5,0.00E+00,0.00E+00,Fuzzy match
APCL_13090L0425,APCL13_090,10.74400075,124.7863023,51,261,APCL_13101L0427,APCL13_101,10.809143,124.765432,FALSE,57,261,261,0,1.45E-79,2.13E-36,Exact match
