First ID,First.SampleID,Loci typed,Second ID,Second.SampleID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_13639L0979,APCL13_639,265,APCL_13651L0980,APCL13_651,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13639L0979,APCL13_639,265,APCL_13651L1725,APCL13_651,265,253,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13651L0980,APCL13_651,265,APCL_13651L1725,APCL13_651,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13653L0696,APCL13_653,265,APCL_14246L0712,APCL14_246,265,251,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13654L0697,APCL13_654,264,APCL_14088L0922,APCL14_088,265,252,12,0.00E+00,0.00E+00,Fuzzy match
APCL_14006L0722,APCL14_006,265,APCL_14006L1738,APCL14_006,265,240,25,0.00E+00,0.00E+00,Fuzzy match
APCL_14032L0947,APCL14_032,263,APCL_14032L1739,APCL14_032,263,236,25,0.00E+00,0.00E+00,Fuzzy match
APCL_14049L0726,APCL14_049,265,APCL_14049L1740,APCL14_049,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14126L1321,APCL14_126,250,APCL_14126L1701,APCL14_126,265,242,8,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L0737,APCL14_255,265,APCL_14255L1742,APCL14_255,262,248,14,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L0737,APCL14_255,265,APCL_14509L1705,APCL14_509,265,252,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L1742,APCL14_255,262,APCL_14509L1705,APCL14_509,265,249,13,0.00E+00,0.00E+00,Fuzzy match
APCL_14309L1018,APCL14_309,265,APCL_14317L0806,APCL14_317,265,243,22,0.00E+00,0.00E+00,Fuzzy match
APCL_14309L1728,APCL14_309,265,APCL_14317L0806,APCL14_317,265,250,15,0.00E+00,0.00E+00,Fuzzy match
APCL_14310L0597,APCL14_310,262,APCL_14310L1748,APCL14_310,263,242,20,0.00E+00,0.00E+00,Fuzzy match
APCL_14310L1748,APCL14_310,263,APCL_14318L1300,APCL14_318,265,242,21,0.00E+00,0.00E+00,Fuzzy match
APCL_14317L1743,APCL14_317,265,APCL_14518L1708,APCL14_518,179,156,23,0.00E+00,0.00E+00,Fuzzy match
APCL_14399L0798,APCL14_399,265,APCL_14423L1341,APCL14_423,265,243,22,0.00E+00,0.00E+00,Fuzzy match
APCL_14399L0798,APCL14_399,265,APCL_14423L1746,APCL14_423,263,248,15,0.00E+00,0.00E+00,Fuzzy match
APCL_14400L0799,APCL14_400,265,APCL_14424L1342,APCL14_424,264,242,22,0.00E+00,0.00E+00,Fuzzy match
APCL_14400L0799,APCL14_400,265,APCL_14424L1747,APCL14_424,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_14401L1005,APCL14_401,265,APCL_14425L1343,APCL14_425,253,235,18,0.00E+00,0.00E+00,Fuzzy match
APCL_14401L1005,APCL14_401,265,APCL_14425L1729,APCL14_425,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_14423L1341,APCL14_423,265,APCL_14423L1746,APCL14_423,263,236,27,0.00E+00,0.00E+00,Fuzzy match
APCL_14424L1342,APCL14_424,264,APCL_14424L1747,APCL14_424,265,243,21,0.00E+00,0.00E+00,Fuzzy match
APCL_14425L1343,APCL14_425,253,APCL_14425L1729,APCL14_425,265,238,15,0.00E+00,0.00E+00,Fuzzy match
APCL_14442L1732,APCL14_442,265,APCL_14498L0969,APCL14_498,250,238,12,0.00E+00,0.00E+00,Fuzzy match
APCL_14452L0744,APCL14_452,265,APCL_14452L1754,APCL14_452,253,239,14,0.00E+00,0.00E+00,Fuzzy match
APCL_14557L1350,APCL14_557,178,APCL_14557L1717,APCL14_557,265,154,24,0.00E+00,0.00E+00,Fuzzy match
